Id,Label,timeset,modularity_class
Fabio Sartor,,,14
Rosalinda Celentano,,,14
Francesco Cabras,,,14
Aleksander Mincer,,,14
Jay Leno,,,19
Debi Derryberry,,,19
Madeleine Martin,,,19
Ariel Winter,,,19
Matthew Romano,,,19
Eric Idle,,,18
Rupert Everett,,,18
Justin Timberlake,,,18
Susanne Blakeslee,,,18
John Krasinski,,,18
Cheri Oteri,,,18
Amy Poehler,,,18
Maya Rudolph,,,18
Amy Sedaris,,,18
Jennifer Saunders,,,18
Kelly Asbury,,,18
Salma Hayek,,,18
Constance Marie,,,18
Bob Joles,,,18
Guillermo del Toro,,,25
Brad Pitt,,,23
Adam Brody,,,23
Kerry Washington,,,23
Chris Weitz,,,23
Michelle Monaghan,,,23
Stephanie March,,,23
Jennifer Morrison,,,23
Perrey Reeves,,,23
Angela Bassett,,,23
Sasha Roiz,,,12
Kenneth Welsh,,,12
Glenn Plummer,,,12
Adrian Lester,,,12
Nestor Serrano,,,12
Christopher Britton,,,12
Perry King,,,12
Rick Hoffman,,,12
Lauren Sánchez,,,12
Arjay Smith,,,12
Austin Nichols,,,12
Sela Ward,,,12
Jay O. Sanders,,,12
Emmy Rossum,,,12
Jake Gyllenhaal,,,12
Dennis Quaid,,,12
Tamlyn Tomita,,,12
Patrick Swayze,,,8
Demi Moore,,,8
Tony Goldwyn,,,8
Rick Aviles,,,8
Phil Leeds,,,8
Vincent Schiavelli,,,8
Kate Winslet,,,21
Billy Zane,,,21
Kathy Bates,,,21
Frances Fisher,,,21
Gloria Stuart,,,21
David Warner,,,21
Victor Garber,,,21
Jonathan Hyde,,,21
Suzy Amis,,,21
Nicholas Cascone,,,21
Danny Nucci,,,21
Jason Barry,,,21
Ewan Stewart,,,21
Ioan Gruffudd,,,21
Jonathan Phillips,,,21
Eric Braeden,,,21
Bernard Fox,,,21
James Cameron,,,21
Daniel Craig,,,25
Olga Kurylenko,,,25
Mathieu Amalric,,,25
Judi Dench,,,25
Giancarlo Giannini,,,25
Gemma Arterton,,,25
Jeffrey Wright,,,25
David Harbour,,,25
Jesper Christensen,,,25
Anatole Taubman,,,25
Rory Kinnear,,,25
Joaquín Cosío,,,25
Simon Kassianides,,,25
Stana Katic,,,25
Neil Jackson,,,25
Alfonso Cuarón,,,25
Eva Green,,,25
Ludger Pistor,,,25
Mads Mikkelsen,,,25
Caterina Murino,,,25
Simon Abkarian,,,25
Isaach De Bankolé,,,25
Ivana Miličević,,,25
Tobias Menzies,,,25
Claudio Santamaria,,,25
Sebastien Foucan,,,25
Malcolm Sinclair,,,25
Richard Sammel,,,25
Joseph Millson,,,25
Clemens Schick,,,25
